DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
R2030,redacted,redacted,Springfield,R,,36,42.14321718,72.5025718,117127.4855,877463.6135,M,100
R2166,redacted,redacted,Ware,R,,37.5,42.26426495,72.222408,140399.0135,890674.1373,M,100
F389,redacted,redacted,Fall River,F,,,41.68682735,71.1738511,227153.8282,826337.553,M,100
W216,redacted,redacted,Lawrence,W,,,42.61363843,73.1186217,67201.31282,930489.8686,T,66
R3325,redacted,redacted,Nantucket,R,,75,41.28515611,70.0996568,317314.3156,782635.7689,M,100
R420,redacted,redacted,North Andover,R,,16.5,42.6607839,71.108771,232075.9004,934540.5169,M,100
R1130,redacted,redacted,Provincetown,R,,22.5,42.05020963,70.1880021,308606.7701,867481.3793,M,100
R421,redacted,redacted,BOSTON,R,,16.5,42.33552043,71.0427641,237681.2763,898437.4673,M,100
R624,redacted,redacted,WELLESLEY,R,,18,42.30442256,71.2839763,217811.5454,894904.8045,M,54
R179,redacted,redacted,HULL,R,,15,42.26325262,70.8596148,252834.8159,890507.6362,M,100
R1663,redacted,redacted,North Billerica,R,,30,42.59125091,71.2966482,216690.7674,926762.8074,M,100
R1664,redacted,redacted,Brookline,R,,30,42.3431568,71.117103,231551.1695,899255.5067,M,100
R625,redacted,redacted,Malden,R,,18,42.42559659,71.0731461,235127.4135,908429.7822,M,100
R626,redacted,redacted,Milford,R,,18,42.15613744,71.5318801,197365.2673,878412.1396,M,100
IH347,redacted,redacted,SOMERVILLE,IH,,27.594,42.38926394,71.1058162,232457.543,904381.1283,M,100
R180,redacted,redacted,Revere,R,,15,42.42035353,70.996343,241451.2025,907881.8765,M,100
R905,redacted,redacted,Milford,R,,21,42.1398133,71.5174567,198556.9198,876598.6361,M,100
W217,redacted,redacted,Quincy,W,,,42.3583663,71.0541471,236729.9395,900970.1044,T,66
R627,redacted,redacted,Norton,R,,18,41.96977741,71.1816152,226390.1195,857761.7183,M,100
R181,redacted,redacted,Attleboro Falls,R,,15,41.97156836,71.3038817,216255.3188,857930.072,M,100
F390,redacted,redacted,Worcester,F,,,42.24955819,71.7718122,177569.179,888823.9383,M,100
IH348,redacted,redacted,NAHANT,IH,,18.7245,42.42600361,70.9199445,247734.4804,908549.4078,M,100
F391,redacted,redacted,Woburn,F,,,42.511205,71.146945,229014.9036,917911.2898,M,100
W218,redacted,redacted,Woburn,W,,,42.10279585,70.6594509,269524.4496,872829.4603,T,66
R3410,redacted,redacted,Boston,R,,82.5,42.37950423,71.0275904,238904.6843,903329.7826,M,100
IH349,redacted,redacted,WORCESTER,IH,,46.3185,42.29536489,71.8372446,172189.6304,893931.1442,M,100
IH350,redacted,redacted,LONGMEADOW,IH,,65.7,42.06398401,72.5520082,112932.7402,868712.9498,M,100
IH351,redacted,redacted,SWAMPSCOTT,IH,,59.13,42.47844014,70.9073104,248733.6809,914381.0228,M,100
C101,redacted,redacted,Hancock,C,,0,42.55583319,73.2941754,52665.0936,924358.2402,M,100
G236,redacted,redacted,Wareham,G,,67.5,41.75875442,70.7278106,264216.3045,834565.0996,M,100
R628,redacted,redacted,Boston,R,,18,42.39006374,70.9969866,241418.0736,904517.0957,M,100
R182,redacted,redacted,Wellesley,R,,15,42.29943954,71.2932666,217046.8886,894349.4163,M,100
R1665,redacted,redacted,Dracut,R,,30,42.66494872,71.3145316,215205.136,934946.1385,M,100
R3326,redacted,redacted,Mansfield,R,,75,42.02796228,71.217791,223370.2223,864213.7204,M,100
R3096,redacted,redacted,Pittsfield,R,,60,42.44399152,73.2606061,55164.94887,911880.0044,M,100
R1363,redacted,redacted,Lynn,R,,24,42.46629,70.9677051,243776.2433,912998.6657,M,100
R3699,redacted,redacted,Arlington,R,,120,42.42187,71.172545,226949.1414,907979.6723,M,100
W219,redacted,redacted,West Wareham,W,,,41.78387292,70.7506921,262288.9827,837337.8817,M,66
R2615,redacted,redacted,ROSLINDALE,R,,45,42.280385,71.13462,230137.6242,892276.823,M,100
F392,redacted,redacted,Andover,F,,,42.62238456,71.1280363,230515.0032,930267.8957,M,100
IH352,redacted,redacted,FALMOUTH,IH,,43.362,41.56633313,70.6247365,273007.1032,813277.2107,M,100
R183,redacted,redacted,Jamaica Plain,R,,15,42.300984,71.1128915,231919.4554,894572.7414,M,100
R2167,redacted,redacted,Norwood,R,,37.5,42.19628645,71.1848506,226028.9879,882919.195,M,100
R2001,redacted,redacted,Brockton,R,,34.5,42.08129457,71.0199016,239724.3163,870210.5144,M,100
R2616,redacted,redacted,Boston,R,,45,42.36504686,71.05837,236378.2092,901710.3404,M,100
R3746,redacted,redacted,Boston,R,,150,42.35050894,71.0791032,234678.3437,900086.9002,M,100
R3747,redacted,redacted,Braintree,R,,150,42.22054,71.02812,238958.7543,885672.7993,M,100
R3748,redacted,redacted,Dedham,R,,150,42.23160348,71.1806837,226358.4577,886843.2346,M,100
R3327,redacted,redacted,Woburn,R,,75,42.50389248,71.1319202,230253.1787,917104.2358,M,100
R2168,redacted,redacted,Northampton,R,,37.5,42.32167214,72.6291921,106924.0338,897414.3601,M,100
R906,redacted,redacted,FALL RIVER,R,,21,41.6728647,71.1641494,227967.6552,824789.8995,M,100
W220,redacted,redacted,Sandwich,W,,,41.7704185,70.4986648,283256.39,836058.627,M,63
G237,redacted,redacted,Quincy,G,,22.5,42.23709227,71.0141833,240098.8933,887517.7528,M,100
R184,redacted,redacted,Beverly,R,,15,42.5567214,70.8804509,250878.9984,923092.0562,M,100
W221,redacted,redacted,Chelsea,W,,,42.22102249,71.8186882,173688.9991,885667.7788,T,66
W222,redacted,redacted,Harwich,W,,,41.70379845,70.0723304,318825.1443,829165.0404,M,66
IH353,redacted,redacted,QUINCY,IH,,23.3235,42.2369721,71.0019864,241105.6829,887510.2111,M,100
R1666,redacted,redacted,GREAT BARRINGTON,R,,30,42.19719396,73.3539642,46890.28632,884635.9452,M,82
R3200,redacted,redacted,Waltham,R,,67.5,42.37453505,71.2103327,223857.1299,902710.5932,M,100
C102,redacted,redacted,Plymouth,C,,0,41.95432086,70.6648825,269236.6576,856334.6569,M,100
W223,redacted,redacted,Chelsea,W,,,42.39529006,71.0527082,236826.9629,905072.0561,M,52
W224,redacted,redacted,Newton,W,,,42.34779246,71.1008287,232889.769,899776.561,T,66
R1364,redacted,redacted,East Taunton,R,,24,41.8797033,71.0395763,238217.2726,847811.1551,M,100
C103,redacted,redacted,Boston,C,,120.5,42.34866359,71.0754671,234978.9476,899883.4118,M,100
C104,redacted,redacted,Cambridge,C,,14.9,42.37257721,71.1191444,231368.3692,902522.6434,M,100
F393,redacted,redacted,Framingham,F,,,42.29893731,71.3936587,208768.7978,894278.4388,M,100
R3700,redacted,redacted,Cambridge,R,,120,42.37257721,71.1191444,231368.3692,902522.6434,M,100
C105,redacted,redacted,Boston,C,,27.4,42.35366,71.047405,237288.1278,900450.2768,M,100
IH354,redacted,redacted,BRAINTREE,IH,,61.4295,42.21807082,70.9921941,241926.4195,885415.5776,M,100
R3097,redacted,redacted,Ashland,R,,60,42.25974663,71.4642471,202949.9732,889920.4906,M,100
G238,redacted,redacted,Boston,G,,300,42.3746008,71.0665658,235697.7131,902768.0863,M,100
R1920,redacted,redacted,Milford,R,,31.5,42.13974697,71.5207154,198287.531,876591.3292,M,100
